"Interval start","All Packets"
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,5.98464e+07
18.5,4.54186e+08
19,4.5692e+08
19.5,3.23051e+08
20,2.8853e+08
20.5,2.9628e+08
21,2.70796e+08
21.5,2.9145e+08
22,2.92841e+08
22.5,2.87901e+08
23,2.90415e+08
23.5,2.81063e+08
24,2.82665e+08
24.5,2.77542e+08
25,2.82913e+08
25.5,2.37716e+08
26,2.68243e+08
26.5,3.05944e+08
27,3.06865e+08
27.5,3.0547e+08
28,2.62922e+08
28.5,2.61074e+08
29,2.084e+08
29.5,2.62429e+08
30,2.98728e+08
30.5,3.01357e+08
31,2.58612e+08
31.5,2.92265e+08
32,2.94959e+08
32.5,2.92733e+08
33,2.97719e+08
33.5,2.90511e+08
34,3.02491e+08
34.5,3.13245e+08
35,2.60462e+08
35.5,2.63865e+08
36,3.01391e+08
36.5,2.67796e+08
37,2.76116e+08
37.5,2.96e+08
38,3.0331e+08
38.5,2.93684e+08
39,3.00768e+08
39.5,3.09594e+08
40,2.87308e+08
40.5,2.57544e+08
41,2.85135e+08
41.5,2.65739e+08
42,2.99159e+08
42.5,3.03717e+08
43,1.84968e+08
43.5,2.20846e+08
44,2.84064e+08
44.5,3.05847e+08
45,3.11374e+08
45.5,3.14867e+08
46,2.87747e+08
46.5,3.07727e+08
47,3.11026e+08
47.5,3.01913e+08
48,2.77345e+08
48.5,3.08146e+08
49,3.00531e+08
49.5,2.97455e+08
50,3.00704e+08
50.5,3.03938e+08
51,2.79367e+08
51.5,2.81335e+08
52,2.88759e+08
52.5,2.98706e+08
53,1.93908e+08
53.5,5.01432e+07
54,2.61973e+08
54.5,2.79802e+08
55,3.03128e+08
55.5,2.98854e+08
56,2.84962e+08
56.5,2.72602e+08
57,2.76879e+08
57.5,2.94712e+08
58,2.50759e+08
58.5,3.03127e+08
59,3.0004e+08
59.5,3.05233e+08
60,3.08549e+08
60.5,2.72085e+08
61,2.67775e+08
61.5,2.76347e+08
62,2.76327e+08
62.5,2.89977e+08
63,2.9338e+08
63.5,2.39106e+08
64,3.01167e+08
64.5,2.88218e+08
65,3.11072e+08
65.5,2.41514e+08
66,3.0866e+08
66.5,3.10912e+08
67,2.93366e+08
67.5,2.9736e+08
68,1.71954e+08
68.5,2.52993e+08
69,2.60665e+08
69.5,2.73187e+08
70,2.76673e+08
70.5,2.93017e+08
71,2.80812e+08
71.5,3.04856e+08
72,3.04249e+08
72.5,2.71333e+08
73,2.258e+08
73.5,2.41727e+08
74,2.84064e+08
74.5,3.09739e+08
75,2.77957e+08
75.5,2.77341e+08
76,2.89613e+08
76.5,2.87117e+08
77,2.92349e+08
77.5,2.60877e+08
78,2.42565e+08
78.5,2.85463e+08
79,3.05035e+08
79.5,3.19343e+08
80,3.09576e+08
80.5,2.70217e+08
81,3.09642e+08
81.5,2.72812e+08
82,2.90803e+08
82.5,2.67603e+08
83,3.12003e+08
83.5,3.04664e+08
84,2.69382e+08
84.5,2.8932e+08
85,2.4238e+08
85.5,2.74471e+08
86,2.81883e+08
86.5,3.01082e+08
87,3.03191e+08
87.5,2.90538e+08
88,2.37342e+08
88.5,2.87031e+08
89,2.99636e+08
89.5,3.13786e+08
90,2.41661e+08
90.5,2.66015e+08
91,3.02499e+08
91.5,2.96434e+08
92,2.96199e+08
92.5,2.84881e+08
93,2.88534e+08
93.5,3.14755e+08
94,2.43697e+08
94.5,3.07032e+08
95,2.28936e+08
95.5,2.953e+08
96,2.75064e+08
96.5,2.68468e+08
97,2.93111e+08
97.5,2.54882e+08
98,2.76794e+08
98.5,2.90593e+08
99,3.09812e+08
99.5,3.05954e+08
100,2.46152e+08
100.5,2.90098e+08
101,2.93164e+08
101.5,2.91043e+08
102,3.09082e+08
102.5,3.07663e+08
103,2.71496e+08
103.5,3.03123e+08
104,3.12941e+08
104.5,3.02333e+08
105,2.14282e+08
105.5,2.92727e+08
106,3.02722e+08
106.5,3.05563e+08
107,2.76945e+08
107.5,2.87718e+08
108,3.17873e+08
108.5,2.90154e+08
109,2.8111e+08
109.5,2.92302e+08
110,1.83697e+08
110.5,2.98683e+08
111,3.03331e+08
111.5,3.09233e+08
112,3.01575e+08
112.5,3.23309e+08
113,1.53516e+08
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,1056
