"Interval start","TCP Errors"
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,127
18.5,47
19,79
19.5,325
20,201
20.5,160
21,172
21.5,102
22,161
22.5,93
23,62
23.5,135
24,112
24.5,176
25,97
25.5,212
26,135
26.5,149
27,76
27.5,125
28,177
28.5,200
29,207
29.5,97
30,166
30.5,92
31,147
31.5,109
32,198
32.5,119
33,126
33.5,111
34,65
34.5,38
35,145
35.5,148
36,80
36.5,202
37,75
37.5,230
38,152
38.5,111
39,115
39.5,139
40,185
40.5,140
41,135
41.5,208
42,94
42.5,155
43,92
43.5,102
44,89
44.5,91
45,122
45.5,39
46,187
46.5,71
47,128
47.5,79
48,181
48.5,74
49,136
49.5,151
50,127
50.5,87
51,221
51.5,105
52,113
52.5,185
53,49
53.5,83
54,236
54.5,89
55,83
55.5,103
56,127
56.5,178
57,169
57.5,116
58,141
58.5,86
59,111
59.5,98
60,90
60.5,157
61,149
61.5,144
62,138
62.5,121
63,150
63.5,213
64,91
64.5,121
65,85
65.5,205
66,47
66.5,172
67,157
67.5,153
68,155
68.5,70
69,151
69.5,204
70,160
70.5,108
71,170
71.5,159
72,92
72.5,156
73,140
73.5,118
74,122
74.5,72
75,171
75.5,141
76,102
76.5,187
77,101
77.5,207
78,28
78.5,143
79,76
79.5,95
80,74
80.5,155
81,75
81.5,124
82,152
82.5,107
83,150
83.5,85
84,160
84.5,98
85,191
85.5,140
86,143
86.5,117
87,146
87.5,197
88,92
88.5,153
89,168
89.5,54
90,151
90.5,112
91,109
91.5,156
92,86
92.5,196
93,124
93.5,45
94,222
94.5,57
95,203
95.5,94
96,219
96.5,126
97,112
97.5,203
98,92
98.5,108
99,89
99.5,125
100,124
100.5,124
101,82
101.5,161
102,70
102.5,189
103,92
103.5,100
104,119
104.5,124
105,172
105.5,140
106,86
106.5,158
107,116
107.5,121
108,142
108.5,186
109,165
109.5,104
110,89
110.5,128
111,87
111.5,114
112,86
112.5,67
113,118
