"Interval start","TCP"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,4.93291e+07
99,3.15842e+08
100,3.6093e+08
101,3.47088e+08
102,3.27561e+08
103,3.16064e+08
104,3.26627e+08
105,3.37815e+08
106,3.17207e+08
107,3.29117e+08
108,3.3013e+08
109,3.29427e+08
110,3.26427e+08
111,2.94127e+08
112,3.23049e+08
113,3.21203e+08
114,3.32476e+08
115,2.94474e+08
116,3.31935e+08
117,3.52089e+08
118,3.21594e+08
119,3.15032e+08
120,3.19723e+08
121,3.04788e+08
122,3.59807e+08
123,3.09821e+08
124,3.23553e+08
125,3.05027e+08
126,3.34221e+08
127,3.41822e+08
128,3.42226e+08
129,3.35514e+08
130,3.32225e+08
131,3.02126e+08
132,3.33868e+08
133,3.21907e+08
134,2.9946e+08
135,3.20721e+08
136,2.96062e+08
137,3.5945e+08
138,3.11861e+08
139,3.30092e+08
140,2.98733e+08
141,3.25785e+08
142,3.68668e+08
143,2.9928e+08
144,2.95938e+08
145,5.18211e+08
146,6.06161e+08
147,6.07142e+08
148,5.9561e+08
149,5.70613e+08
150,6.02955e+08
151,6.01676e+08
152,5.99907e+08
153,6.03344e+08
154,6.05279e+08
155,5.97926e+08
156,6.07268e+08
157,6.07669e+08
158,6.06723e+08
159,5.98924e+08
160,6.00129e+08
161,6.05315e+08
162,6.04889e+08
163,6.06052e+08
164,6.07189e+08
165,6.02022e+08
166,6.04838e+08
167,5.99729e+08
168,6.02309e+08
169,5.99633e+08
170,5.95626e+08
171,5.78601e+08
172,5.79223e+08
173,5.95687e+08
174,6.05041e+08
175,6.06274e+08
176,5.85997e+08
177,5.99652e+08
178,6.05224e+08
179,6.0396e+08
180,6.02404e+08
181,6.07628e+08
182,5.93984e+08
183,6.06829e+08
184,5.10146e+08
