"Interval start","TCP Errors"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,233
52,182
53,230
54,184
55,165
56,196
57,171
58,188
59,195
60,191
61,195
62,195
63,206
64,244
65,152
66,140
67,203
68,173
69,201
70,194
71,137
72,138
73,160
74,226
75,214
76,160
77,134
78,182
79,183
80,194
81,191
82,192
83,212
84,252
85,283
86,198
87,175
88,179
89,211
90,217
91,171
92,215
93,210
94,177
95,183
96,215
97,172
98,153
99,187
100,176
101,203
102,196
103,185
104,233
105,182
106,177
107,183
108,208
109,172
110,167
111,154
112,172
113,179
114,170
115,141
116,213
117,135
118,206
119,150
120,208
121,170
122,182
123,240
124,187
125,148
126,140
127,185
128,206
129,182
130,181
131,147
132,179
133,176
134,146
135,214
136,145
137,221
138,153
139,196
140,163
141,199
142,182
143,156
144,151
145,130
146,149
147,139
148,171
149,145
150,158
151,151
152,156
153,152
154,171
155,139
156,162
157,152
158,176
159,157
160,143
161,156
162,152
163,146
164,169
165,175
166,126
167,156
168,162
169,159
170,201
171,162
172,142
173,150
174,165
175,155
176,144
177,155
178,173
179,167
180,183
181,133
182,181
183,162
184,134
