"Interval start","All Packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,36839
44,71934
45,72074
46,70358
47,71253
48,60846
49,38231
50,37718
51,37635
52,38432
53,40685
54,35623
55,37646
56,33328
57,36825
58,40720
59,38414
60,38109
61,39307
62,38780
63,39232
64,33354
65,1027
66,1098
67,10809
68,0
69,17534
70,40152
71,35998
72,37508
73,37956
74,38719
75,40970
76,39777
77,36790
78,64094
79,40361
80,37837
81,40168
82,36964
83,38011
84,36307
85,39182
86,39038
87,36893
88,39382
89,38999
90,38624
91,35939
92,35670
93,35624
94,35422
95,37230
96,35132
97,33297
98,38793
99,39569
100,36463
101,37240
102,38364
103,40209
104,36384
105,37859
106,41017
107,38529
108,35875
109,39037
110,42243
111,38527
112,39364
113,37922
114,37808
115,37289
116,38961
117,38068
118,39492
119,36473
120,40465
121,38389
122,36656
123,39630
124,38845
125,38721
126,38270
127,37659
128,39601
129,36970
130,41206
131,40106
132,37390
133,38143
134,34756
135,35167
136,37395
137,36041
138,39381
139,42865
140,38153
141,39658
142,52321
143,71452
144,71819
145,72648
146,72684
147,70446
148,71848
149,72869
150,73671
151,73404
152,72240
153,71397
154,70213
155,71552
156,68779
157,70935
158,70201
159,68861
160,70569
161,71458
162,71712
163,72198
164,71704
165,71542
166,72588
167,73601
168,70019
169,67744
170,67291
171,69408
172,70228
173,71456
174,69633
175,70205
176,71126
177,67404
178,13549
