"Interval start","All Packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,47805
67,68484
68,70092
69,66549
70,72548
71,68864
72,65841
73,68634
74,72258
75,67376
76,61145
77,69111
78,69910
79,71929
80,71864
81,72997
82,68137
83,71018
84,50502
85,49401
86,65839
87,68558
88,71952
89,66222
90,69874
91,68185
92,70458
93,70829
94,68081
95,71585
96,64900
97,67225
98,71159
99,70221
100,74580
101,74137
102,70701
103,73182
104,69621
105,60440
106,70702
107,66593
108,39975
109,0
110,0
111,2
